[INFO] [1741228350.766448073] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 16) with 201 points on submap (1, 1) differs by translation 0.00 rotation 0.000 with score 83.6%.
[INFO] [1741228350.786555055] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 30) with 200 points on submap (1, 1) differs by translation 0.01 rotation 0.002 with score 84.2%.
[INFO] [1741228350.787623425] [cartographer logger]: I20250306 11:32:30.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 20) with 212 points on submap (1, 1) differs by translation 0.00 rotation 0.006 with score 84.1%.
[INFO] [1741228350.793466999] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 33) with 204 points on submap (1, 1) differs by translation 0.01 rotation 0.003 with score 84.1%.
[INFO] [1741228350.800006054] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 40) with 203 points on submap (1, 1) differs by translation 0.01 rotation 0.006 with score 84.1%.
[INFO] [1741228350.800522277] [cartographer logger]: I20250306 11:32:30.-2147483648  4951 constraint_builder_2d.cc:275] Node (1, 23) with 211 points on submap (1, 1) differs by translation 0.01 rotation 0.006 with score 83.4%.
[INFO] [1741228350.806065777] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 43) with 203 points on submap (1, 1) differs by translation 0.01 rotation 0.008 with score 84.3%.
[INFO] [1741228350.811688666] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 50) with 200 points on submap (1, 1) differs by translation 0.00 rotation 0.006 with score 84.2%.
[INFO] [1741228350.817552480] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 53) with 203 points on submap (1, 1) differs by translation 0.00 rotation 0.004 with score 82.9%.
[INFO] [1741228350.821037888] [cartographer logger]: I20250306 11:32:30.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 36) with 202 points on submap (1, 1) differs by translation 0.01 rotation 0.007 with score 82.6%.
[INFO] [1741228350.822143295] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 56) with 204 points on submap (1, 1) differs by translation 0.00 rotation 0.003 with score 84.1%.
[INFO] [1741228350.827890480] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 63) with 200 points on submap (1, 1) differs by translation 0.01 rotation 0.007 with score 83.9%.
[INFO] [1741228350.828198592] [cartographer logger]: I20250306 11:32:30.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 26) with 200 points on submap (1, 1) differs by translation 0.00 rotation 0.004 with score 83.5%.
[INFO] [1741228350.835162832] [cartographer logger]: I20250306 11:32:30.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 70) with 201 points on submap (1, 1) differs by translation 0.01 rotation 0.000 with score 83.8%.
[INFO] [1741228350.837930258] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 66) with 202 points on submap (1, 1) differs by translation 0.00 rotation 0.004 with score 84.8%.
[INFO] [1741228350.848193925] [cartographer logger]: I20250306 11:32:30.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 73) with 200 points on submap (1, 1) differs by translation 0.00 rotation 0.001 with score 84.6%.
[INFO] [1741228350.850301906] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 76) with 206 points on submap (1, 1) differs by translation 0.00 rotation 0.003 with score 83.8%.
[INFO] [1741228350.857397943] [cartographer logger]: I20250306 11:32:30.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 60) with 209 points on submap (1, 1) differs by translation 0.01 rotation 0.012 with score 82.1%.
